Symbol,Type,Dom Stock %,Int Stock %,Dom Bond %,Int Bond %,Cash,Other,Expense Ratio
31565A745,MIXED,54.68,35.42,8.93,0.97,0,0,0.07
31617E836,MIXED,96.48,3.31,0.07,0,0.14,0,0.43
62400PKP4,BOND,0,0,100,0,0,0,0
912797FS1,BOND,0,0,100,0,0,0,0
912797GX9,BOND,0,0,100,0,0,0,0
912797LL9,BOND,0,0,100,0,0,0,0
912828YM6,BOND,0,0,100,0,0,0,0
91282CDB4,BOND,0,0,100,0,0,0,0
CORE**,CASH,0,0,0,0,100,0,0
DOXIX,BOND,0,0,77,18.5,2.6,1.9,0.33
FBALX,MIXED,58.99,3.93,36.33,0,0.75,0,0.51
FBLAX,MIXED,31.37,1.77,56.32,8.08,2.46,0,0.91
FCNVX,BOND,0,0,49.63,50.37,0,0,0.25
FDLXX,CASH,0,0,0,0,100,0,0.42
FIPDX,BOND,0,0,100,0,0,0,0.05
FIVLX,INT STOCK,0,95.82,0,0,4.18,0,1.01
FSDIX,MIXED,51.95,5.99,11.36,0,2.5,28.2,0.7
FSELX,MIXED,85.71,11.84,0,0,2.45,0,0.69
FSKAX,DOM STOCK,99.43,0.57,0,0,0,0,0.015
FSMEX,DOM STOCK,97.86,1.77,0.31,0,0.06,0,0.7
FSPSX,INT STOCK,0,100,0,0,0,0,0.035
FSTGX,BOND,0,0,100,0,0,0,0.45
FTIHX,INT STOCK,0,100,0,0,0,0,0.06
FXAIX,DOM STOCK,100,0,0,0,0,0,0.015
FZDXX,CASH,0,0,0,0,100,0,0.3
ONEQ,DOM STOCK,100,0,0,0,0,0,0.21
VBTIX,BOND,0,0,91.34,7.76,0.89,0.01,0.035